"HOSP_CITY","THCIC_ID","HOSP_NAME","HOSP_REPORTS_WITH_THCIC_ID"
"ARLINGTON","975388","PERIMETER BEHAVIORAL HOSPITAL OF ARLINGTON",NA
"ARLINGTON","976128","REUNION REHABILITATION HOSPITAL ARLINGTON",NA
"ARLINGTON","422000","TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL",NA
"ARLINGTON","730001","TEXAS HEALTH HEART & VASCULAR HOSPITAL",NA
"ARLINGTON","974730","TEXAS REHAB HOSPITAL OF ARLINGTON",NA
"ARLINGTON","799001","USMD HOSPITAL-ARLINGTON",NA
"ASPERMONT","666000","STONEWALL MEMORIAL HOSPITAL",NA
"ATHENS","975293","UT HEALTH EAST TEXAS ATHENS HOSPITAL",NA
"ATLANTA","788003","CHRISTUS ST MICHAEL HOSPITAL ATLANTA",NA
"AUBREY","873200","BAYLOR EMERGENCY MEDICAL CENTER AT AUBREY",NA
"AUSTIN","973290","ARISE AUSTIN MEDICAL CENTER",NA
"AUSTIN","497000","ASCENSION SETON MEDICAL CENTER",NA
"AUSTIN","797600","ASCENSION SETON NORTHWEST",NA
"AUSTIN","770000","ASCENSION SETON SHOAL CREEK",NA
"AUSTIN","797500","ASCENSION SETON SOUTHWEST",NA
"AUSTIN","973160","AUSTIN OAKS HOSPITAL",NA
"AUSTIN","000100","AUSTIN STATE HOSPITAL",NA
"AUSTIN","975789","BAYLOR SCOTT & WHITE MEDICAL CENTER AUSTIN",NA
"AUSTIN","854400","CENTRAL TEXAS REHAB HOSPITAL",NA
"AUSTIN","700000","CORNERSTONE SPECIALTY HOSPITALS AUSTIN",NA
"AUSTIN","974620","CROSS CREEK HOSPITAL",NA
"AUSTIN","852000","DELL CHILDRENS MEDICAL CENTER",NA
"AUSTIN","976140","DELL CHILDRENS MEDICAL CENTER NORTH CAMPUS",NA
"AUSTIN","975215","DELL SETON MEDICAL CENTER AT THE UNIVERSITY OF TEXAS",NA
"AUSTIN","970800","ENCOMPASS HEALTH REHAB HOSPITAL AUSTIN",NA
"AUSTIN","829000","HEART HOSPITAL-AUSTIN",NA
"AUSTIN","975269","LAKE TRAVIS ER",NA
"AUSTIN","829900","NORTH AUSTIN MEDICAL CENTER",NA
"AUSTIN","794000","NORTHWEST HILLS SURGICAL HOSPITAL",NA
"AUSTIN","975171","SOUTH AUSTIN SURGERY CENTER",NA
"AUSTIN","035000","ST DAVIDS HOSPITAL",NA
"AUSTIN","649000","ST DAVIDS REHAB CENTER",NA
"AUSTIN","602000","ST DAVIDS SOUTH AUSTIN HOSPITAL",NA
"AUSTIN","975169","ST DAVIDS SURGICAL HOSPITAL",NA
"AUSTIN","739001","TEXAS NEUROREHAB CENTER",NA
"AUSTIN","622001","TEXAS NEUROREHAB CENTER-LTAC",NA
"AUSTIN","822800","WESTLAKE MEDICAL CENTER",NA
"AZLE","469000","TEXAS HEALTH HARRIS METHODIST HOSPITAL AZLE",NA
"BALLINGER","234000","BALLINGER MEMORIAL HOSPITAL DISTRICT",NA
"BASTROP","975418","ASCENSION SETON BASTROP",NA
"BAY CITY","006000","MATAGORDA REGIONAL MEDICAL CENTER",NA
"BAYTOWN","973860","ALTUS BAYTOWN HOSPITAL BAYTOWN MEDICAL CENTER",NA
"BAYTOWN","405000","HOUSTON METHODIST BAYTOWN HOSPITAL",NA
"BAYTOWN","975990","PATIENTS EMERGENCY ROOM AND HOSPITAL",NA
"BEAUMONT","389000","BAPTIST HOSPITALS OF SOUTHEAST TEXAS",NA
"BEAUMONT","389002","BAPTIST HOSPITALS OF SOUTHEAST TEXAS FANNIN BEHAVIORAL CTR","389000"
"BEAUMONT","975888","BEAUMONT EMERGENCY HOSPITAL",NA
"BEAUMONT","975255","CHRISTUS DUBUIS HOSPITAL BEAUMONT",NA
"BEAUMONT","444001","CHRISTUS SOUTHEAST TEXAS - ST ELIZABETH",NA
"BEAUMONT","973570","CHRISTUS SOUTHEAST TEXAS ORTHOPEDIC SPECIALTY CENTER",NA
"BEAUMONT","861900","KATE DISHMAN REHAB HOSPITAL",NA
"BEAUMONT","975111","MEDICAL CENTER OF SOUTHEAST TEXAS BEAUMONT CAMPUS",NA
"BEAUMONT","975376","MID-JEFFERSON EXTENDED CARE HOSPITAL",NA
"BEAUMONT","975149","PAM REHABILITATION HOSPITAL OF BEAUMONT",NA
"BEDFORD","700003","ENCOMPASS HEALTH REHAB HOSPITAL THE MID-CITIES",NA
"BEDFORD","182000","TEXAS HEALTH HARRIS METHODIST HEB",NA
"BEDFORD","778000","TEXAS HEALTH SPRINGWOOD BEHAVIORAL HEALTH HOSPITAL",NA
"BEEVILLE","429001","CHRISTUS SPOHN HOSPITAL-BEEVILLE",NA
"BELLAIRE","975412","FIRST SURGICAL HOSPITAL",NA
"BELLAIRE","974820","MEMORIAL HERMANN - ROCKETS ORTHOPEDIC HOSPITAL",NA
"BELLVILLE","552000","BELLVILLE MEDICAL CENTER",NA
"BELTON","806002","CEDAR CREST HOSPITAL",NA
"BIG LAKE","343000","REAGAN MEMORIAL HOSPITAL",NA
"BIG SPRING","000101","BIG SPRING STATE HOSPITAL",NA
"BIG SPRING","975372","SCENIC MOUNTAIN MEDICAL CENTER",NA
"BONHAM","106001","TMC BONHAM HOSPITAL",NA
"BORGER","654000","GOLDEN PLAINS COMMUNITY HOSPITAL",NA
"BRADY","362000","HEART OF TEXAS HEALTHCARE SYSTEM",NA
"BRECKENRIDGE","430000","STEPHENS MEMORIAL HOSPITAL",NA
"BRENHAM","066000","BAYLOR SCOTT & WHITE HOSPITAL-BRENHAM",NA
"BROWNFIELD","078000","BROWNFIELD REGIONAL MEDICAL CENTER",NA
"BROWNSVILLE","976119","DHR HEALTH BROWNSVILLE 2Q2023",NA
"BROWNSVILLE","847500","SOLARA SPECIALTY HOSPITALS HARLINGEN",NA
"BROWNSVILLE","821100","SOUTH TEXAS REHAB HOSPITAL",NA
"BROWNSVILLE","314001","VALLEY BAPTIST MEDICAL CENTER-BROWNSVILLE",NA
"BROWNSVILLE","019000","VALLEY REGIONAL MEDICAL CENTER",NA
"BROWNWOOD","975878","HENDRICK MEDICAL CENTER BROWNWOOD",NA
"BRYAN","975162","CHI ST JOSEPH REHAB HOSPITAL, ENCOMPASS HEALTH",NA
"BRYAN","975270","CAPROCK HOSPITAL",NA
"BRYAN","717500","PHYSICIANS CENTRE HOSPITAL",NA
"BRYAN","002001","ST JOSEPH REGIONAL HEALTH CENTER",NA
"BUDA","975391","BAYLOR SCOTT & WHITE MEDICAL CENTER BUDA",NA
"BURLESON","973920","BAYLOR EMERGENCY MEDICAL CENTER-BURLESON",NA
"BURNET","559000","ASCENSION SETON HIGHLAND LAKES",NA
"CALDWELL","679000","BURLESON ST JOSEPH HEALTH CENTER-CALDWELL",NA
"CANADIAN","457000","HEMPHILL COUNTY HOSPITAL",NA
"CARRIZO SPRINGS","156000","DIMMIT REGIONAL HOSPITAL",NA
"CARROLLTON","975813","CARROLLTON REGIONAL MEDICAL CENTER",NA
"CARROLLTON","969500","CARROLLTON SPRINGS",NA
"CARROLLTON","975413","LEGENT ORTHOPEDIC HOSPITAL",NA
"CARTHAGE","975294","UT HEALTH EAST TEXAS CARTHAGE HOSPITAL",NA
"CEDAR PARK","975384","BAYLOR SCOTT & WHITE EMERGENCY MEDICAL CENTER CEDAR PARK",NA
"CEDAR PARK","858300","CEDAR PARK REGIONAL MEDICAL CENTER",NA
"CHILDRESS","026000","CHILDRESS REGIONAL MEDICAL CENTER",NA
"CLEBURNE","323000","TEXAS HEALTH HARRIS METHODIST HOSPITAL",NA
"CLEVELAND","975222","TEXAS RURAL HOSPITALS",NA
"CLIFTON","070000","GOODALL - WITCHER HOSPITAL",NA
"COLEMAN","049000","COLEMAN COUNTY MEDICAL CENTER",NA
"COLLEGE STATION","206100","BAYLOR SCOTT & WHITE HOSPITAL COLLEGE STATION",NA
"COLLEGE STATION","975403","CHI ST JOSEPH HEALTH - COLLEGE STATION HOSPITAL",NA
"COLLEYVILLE","972420","BAYLOR EMERGENCY MEDICAL CENTER-COLLEYVILLE",NA
"COLORADO CITY","075000","MITCHELL COUNTY HOSPITAL",NA
"COLUMBUS","014000","COLUMBUS COMMUNITY HOSPITAL",NA
"COMANCHE","495001","COMANCHE COUNTY MEDICAL CENTER",NA
"CONROE","915000","ASPIRE HOSPITAL",NA
"CONROE","854100","CORNERSTONE SPECIALTY HOSPITAL CONROE",NA
"CONROE","695000","ENCOMPASS HEALTH REHAB HOSPITAL THE WOODLANDS",NA
"CONROE","508001","HCA HOUSTON HEALTHCARE CONROE",NA
"CONROE","100087","MONTGOMERY COUNTY MENTAL HEALTH TREATMENT FACILITY",NA
"CONROE","976141","VOYAGES BEHAVIORAL HEALTH OF CONROE",NA
"CONROE","975288","WOODLAND SPRINGS",NA
"CORPUS CHRISTI","703005","BAYVIEW BEHAVIORAL HOSPITAL",NA
"CORPUS CHRISTI","398001","CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI-SHORELINE",NA
"CORPUS CHRISTI","398002","CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI-SOUTH",NA
"CORPUS CHRISTI","976156","CHRISTUS SURGICAL HOSPITAL",NA
"CORPUS CHRISTI","703000","CORPUS CHRISTI MEDICAL CENTER-BAY AREA",NA
"CORPUS CHRISTI","703002","CORPUS CHRISTI MEDICAL CENTER-DOCTORS REGIONAL",NA
"CORPUS CHRISTI","703003","CORPUS CHRISTI MEDICAL CENTER-HEART HOSPITAL",NA
"CORPUS CHRISTI","704004","CORPUS CHRISTI MEDICAL CENTER-NORTHWEST",NA
"CORPUS CHRISTI","973310","CORPUS CHRISTI REHABILITATION HOSPITAL",NA
"CORPUS CHRISTI","488000","DRISCOLL CHILDRENS HOSPITAL",NA
"CORPUS CHRISTI","976120","DRISCOLL CHILDRENS HOSPITAL NEONATAL CARE CENTER",NA
"CORPUS CHRISTI","976084","OCEANS BEHAVIORAL HOSPITAL OF CORPUS CHRISTI",NA
"CORPUS CHRISTI","975271","PAM REHAB HOSPITAL OF CORPUS CHRISTI",NA
"CORPUS CHRISTI","975303","PAM SPECIALTY HOSPITAL OF CORPUS CHRISTI BAYFRONT",NA
"CORPUS CHRISTI","974360","PAM SPECIALTY HOSPITAL OF CORPUS CHRISTI NORTH",NA
"CORPUS CHRISTI","931000","SOUTH TEXAS SURGICAL HOSPITAL",NA
"CORSICANA","141000","NAVARRO REGIONAL HOSPITAL",NA
"CRANE","467000","CRANE MEMORIAL HOSPITAL",NA
"CROCKETT","975259","CROCKETT MEDICAL CENTER",NA
"CROSBYTON","176000","CROSBYTON CLINIC HOSPITAL",NA
"CUERO","074000","CUERO REGIONAL HOSPITAL CYPRESS",NA
"CUERO","975321","HCA HOUSTON HEALTHCARE NORTH CYPRESS",NA
"CUERO","114100","LONE STAR BEHAVIORAL HEALTH CYPRESS",NA
"CUERO","975201","MEMORIAL HERMANN CYPRESS HOSPITAL",NA
"DALHART","262000","COON MEMORIAL HOSPITAL & HOME",NA
"DALLAS","976019","ADVANCED DALLAS HOSPITALS AND CLINICS",NA
"DALLAS","784400","BAYLOR SCOTT & WHITE HEART & VASCULAR HOSPITAL",NA
"DALLAS","642000","BAYLOR SCOTT & WHITE INSTITUTE FOR REHAB",NA
"DALLAS","008001","BAYLOR SCOTT & WHITE MEDICAL CENTER UPTOWN",NA
"DALLAS","331000","BAYLOR UNIVERSITY MEDICAL CENTER",NA
"DALLAS","143000","CHILDRENS MEDICAL CENTER-DALLAS",NA
"DALLAS","826200","DALLAS ENDOSCOPY CENTER",NA
"DALLAS","449000","DALLAS MEDICAL CENTER",NA
"DALLAS","680001","ENCOMPASS HEALTH REHAB HOSPITAL DALLAS",NA
"DALLAS","975129","FIRST BAPTIST MEDICAL CENTER",NA
"DALLAS","975400","KPC PROMISE HOSPITAL OF DALLAS",NA
"DALLAS","914000","KINDRED HOSPITAL DALLAS CENTRAL",NA
"DALLAS","975791","LIFECARE HOSPITAL OF NORTH TEXAS DALLAS",NA
"DALLAS","340000","MEDICAL CITY DALLAS HOSPITAL",NA
"DALLAS","766000","MEDICAL CITY GREEN OAKS HOSPITAL",NA
"DALLAS","975407","MEDICAL CITY HEART & SPINE HOSPITALS",NA
"DALLAS","142000","METHODIST CHARLTON MEDICAL CENTER",NA
"DALLAS","255000","METHODIST DALLAS MEDICAL CENTER",NA
"DALLAS","862000","METHODIST REHAB HOSPITAL",NA
"DALLAS","976188","NEXUS CHILDRENS HOSPITAL - DALLAS",NA
"DALLAS","860600","NORTH CENTRAL SURGICAL CENTER",NA
"DALLAS","474000","PARKLAND MEMORIAL HOSPITAL",NA
"DALLAS","976014","PEAK HEALTH SURGICARE MONTFORT OF HORIZON MEDICAL CENTER",NA
"DALLAS","975793","PEAK HEALTH SURGICARE OF HORIZON MEDICAL CENTER",NA
"DALLAS","974270","SELECT SPECIALTY HOSPITAL DALLAS (DOWNTOWN)",NA
"DALLAS","431000","TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS",NA
"DALLAS","813100","TEXAS INSTITUTE FOR SURGERY-TEXAS HEALTH PRESBYTERIAN-DALLAS",NA
"DALLAS","054000","TEXAS SCOTTISH RITE HOSPITAL FOR CHILDREN",NA
"DALLAS","448002","UT SOUTHWESTERN UNIVERSITY HOSPITAL-CLEMENTS PSYCH",NA
"DALLAS","448001","UT SOUTHWESTERN UNIVERSITY HOSPITAL-CLEMENTS UNIVERSITY",NA
"DALLAS","653001","UT SOUTHWESTERN UNIVERSITY HOSPITAL-ZALE LIPSHY",NA
"DALLAS","653003","UT SOUTHWESTERN UNIVERSITY HOSPITAL-ZALE LIPSHY REHAB",NA
"DALLAS","975268","WHITE ROCK MEDICAL CENTER",NA
"DESOTO","973400","DALLAS BEHAVIORAL HEALTHCARE HOSPITAL",NA
"DESOTO","837800","HICKORY TRAIL HOSPITAL",NA
"DESOTO","839100","VIBRA SPECIALTY HOSPITAL",NA
"DECATUR","254000","WISE HEALTH SYSTEM-FM 51",NA
"DECATUR","254001","WISE HEALTH SYSTEM-MEDICAL CENTER",NA
"DEL RIO","975377","STAT SPECIALTY HOSPITAL",NA
"DEL RIO","462000","VAL VERDE REGIONAL MEDICAL CENTER",NA
"DENISON","847001","REBA MCENTIRE CENTER-REHAB","847000"
"DENISON","847000","TEXOMA MEDICAL CENTER",NA
"DENTON","208100","BAYLOR SCOTT & WHITE THE HEART HOSPITAL",NA
"DENTON","975163","HORIZON MEDICAL CENTER OF DENTON",NA
"DENTON","831700","MAYHILL HOSPITAL",NA
"DENTON","336001","MEDICAL CITY DENTON",NA
"DENTON","871500","SELECT REHAB HOSPITAL-DENTON",NA
"DENTON","820800","TEXAS HEALTH PRESBYTERIAN HOSPITAL-DENTON",NA
"DENTON","826800","UNIVERSITY BEHAVIORAL HEALTH-DENTON",NA
"DENVER CITY","485000","YOAKUM COUNTY HOSPITAL",NA
"DESOTO","976268","SELECT SPECIALTY HOSPITAL DALLAS DOWNTOWN",NA
"DIMMITT","260000","PLAINS MEMORIAL HOSPITAL",NA
"DUMAS","199000","MEMORIAL HOSPITAL-DUMAS",NA
"EAGLE LAKE","560000","RICE MEDICAL CENTER",NA
"EAGLE PASS","547001","FORT DUNCAN REGIONAL MEDICAL CENTER",NA
"EAGLE PASS","975908","STAT SPECIALTY HOSPITAL OF EAGLE PASS",NA
"EASTLAND","222000","EASTLAND MEMORIAL HOSPITAL",NA
"EDEN","202000","CONCHO COUNTY HOSPITAL",NA
"EDINBURG","797102","BEHAVIORAL HOSPITAL AT RENAISSANCE","797100"
"EDINBURG","830000","CORNERSTONE REGIONAL HOSPITAL",NA
"EDINBURG","797100","DOCTORS HOSPITAL-RENAISSANCE",NA
"EDINBURG","797103","REHABILITATION HOSPITAL AT RENAISSANCE","797100"
"EDINBURG","802004","SOUTH TEXAS HEALTH SYSTEM BEHAVIORAL","802001"
"EDINBURG","140002","SOUTH TEXAS HEALTH SYSTEM EDINBURG",NA
"EDINBURG","797101","WOMENS HOSPITAL-RENAISSANCE",NA
"EDNA","017000","JACKSON COUNTY HOSPITAL",NA
"EL CAMPO","426000","EL CAMPO MEMORIAL HOSPITAL",NA
"EL PASO","319000","DEL SOL MEDICAL CENTER",NA
"EL PASO","858600","EL PASO BEHAVIORAL HEALTH SYSTEM",NA
"EL PASO","969700","EL PASO CHILDRENS HOSPITAL",NA
"EL PASO","841300","EL PASO LTAC HOSPITAL",NA
"EL PASO","000118","EL PASO PSYCHIATRIC CENTER",NA
"EL PASO","976159","EVEREST REHABILITATION EL PASO",NA
"EL PASO","727100","KINDRED HOSPITAL EL PASO",NA
"EL PASO","976047","LAS PALMAS DEL SOL REHAB HOSPITAL EAST",NA
"EL PASO","180000","LAS PALMAS MEDICAL CENTER",NA
"EL PASO","180001","LAS PALMAS REHAB HOSPITAL","180000"
"EL PASO","975398","PAM HEALTH REHAB HOSPITAL EL PASO",NA
"EL PASO","701000","PREMIER SPECIALTY HOSPITAL OF EL PASO",NA
"EL PASO","975374","RIO VISTA BEHAVIORAL HEALTH",NA
"EL PASO","865000","THE HOSPITALS OF PROVIDENCE EAST CAMPUS",NA
"EL PASO","130000","THE HOSPITALS OF PROVIDENCE MEMORIAL CAMPUS",NA
"EL PASO","975338","THE HOSPITALS OF PROVIDENCE NORTHEAST CAMPUS",NA
"EL PASO","266000","THE HOSPITALS OF PROVIDENCE SIERRA CAMPUS",NA
"EL PASO","975803","THE HOSPITALS OF PROVIDENCE SPINE & PAIN MANAGEMENT CENTER",NA
"EL PASO","975188","THE HOSPITALS OF PROVIDENCE TRANSMOUNTAIN CAMPUS",NA
"EL PASO","263000","UNIVERSITY MEDICAL CENTER OF EL PASO-ALAMEDA",NA
"ELDORADO","136000","SCHLEICHER COUNTY MEDICAL CENTER",NA
"ELECTRA","490000","ELECTRA MEMORIAL HOSPITAL",NA
"ENNIS","975920","ENCOR ASC",NA
"ENNIS","714500","ENNIS REGIONAL MEDICAL CENTER",NA
"FAIRFIELD","975198","FREESTONE MEDICAL CENTER",NA
"FLORESVILLE","433000","CONNALLY MEMORIAL MEDICAL CENTER",NA
"FLOWER MOUND","975889","CLEARSKY REHAB HOSPITAL OF FLOWER MOUND",NA
"FLOWER MOUND","943000","TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND",NA
"FORT STOCKTON","356000","PECOS COUNTY MEMORIAL HOSPITAL",NA
"FORT WORTH","363000","BAYLOR SCOTT & WHITE ALL SAINTS MEDICAL CENTER-FORT WORTH",NA
"FORT WORTH","873800","BAYLOR SCOTT & WHITE INSTITUTE FOR REHAB-FORT WORTH",NA
"FORT WORTH","804500","BAYLOR SCOTT & WHITE SURGICAL HOSPITAL-FORT WORTH",NA
"FORT WORTH","332000","COOK CHILDRENS MEDICAL CENTER",NA
"FORT WORTH","662000","ENCOMPASS HEALTH REHAB HOSPITAL CITY VIEW",NA
"FORT WORTH","975862","GULFSTREAM SURGICAL FORT WORTH",NA
"FORT WORTH","975121","JPS HEALTH NETWORK - TRINITY SPRINGS NORTH",NA
"FORT WORTH","409000","JOHN PETER SMITH HOSPITAL",NA
"FORT WORTH","800000","KINDRED HOSPITAL TARRANT COUNTY FORT WORTH SW",NA
"FORT WORTH","975792","LIFECARE HOSPITALS OF FORT WORTH",NA
"FORT WORTH","974490","MEDICAL CITY ALLIANCE",NA
"FORT WORTH","477000","MEDICAL CITY FORT WORTH",NA
"FORT WORTH","976273","MEDICAL CITY SURGICAL HOSPITAL ALLIANCE",NA
"FORT WORTH","973430","MESA SPRINGS",NA
"FORT WORTH","972900","TEXAS HEALTH HARRIS METHODIST HOSPITAL ALLIANCE",NA
"FORT WORTH","235000","TEXAS HEALTH HARRIS METHODIST HOSPITAL-FORT WORTH",NA
"FORT WORTH","627000","TEXAS HEALTH HARRIS METHODIST HOSPITAL-SOUTHWEST FORT WORTH",NA
"FORT WORTH","975167","TEXAS HEALTH HOSPITAL CLEARFORK",NA
"FORT WORTH","047000","TEXAS HEALTH HUGULEY HOSPITAL",NA
"FORT WORTH","652000","TEXAS HEALTH SPECIALTY HOSPITAL-FORT WORTH",NA
"FORT WORTH","902200","TEXAS REHABILITATION HOSPITAL-FORT WORTH",NA
"FORT WORTH","975835","WELLBRIDGE HOSPITAL OF FORT WORTH",NA
"FORT WORTH","973840","WISE HEALTH SURGICAL HOSPITAL-NORTH TARRANT",NA
"FREDERICKSBURG","219000","HILL COUNTRY MEMORIAL HOSPITAL 2Q2023",NA
"FREDERICKSBURG","976139","METHODIST HOSPITAL HILL COUNTRY",NA
"FRIONA","200000","PARMER MEDICAL CENTER",NA
"FRISCO","100093","BAYLOR SCOTT & WHITE INSTITUTE FOR REHAB FRISCO",NA
"FRISCO","975285","BAYLOR SCOTT & WHITE MEDICAL CENTER CENTENNIAL",NA
"FRISCO","787400","BAYLOR SCOTT & WHITE MEDICAL CENTER-FRISCO",NA
"FRISCO","974290","HAVEN BEHAVIORAL HOSPITAL OF FRISCO",NA
"FRISCO","975139","MEDICAL CITY FRISCO",NA
"FRISCO","975783","TEXAS HEALTH HOSPITAL FRISCO",NA
"GAINESVILLE","298000","NORTH TEXAS MEDICAL CENTER",NA
"GALVESTON","247000","SHRINERS HOSPITALS FOR CHILDREN",NA
"GALVESTON","000102","UT MEDICAL BRANCH HOSPITAL",NA
"GARLAND","975404","PERIMETER BEHAVIORAL HOSPITAL OF DALLAS",NA
"GATESVILLE","346000","CORYELL MEMORIAL HOSPITAL",NA
"GEORGETOWN","973910","GEORGETOWN BEHAVIORAL HEALTH INSTITUTE",NA
"GEORGETOWN","973730","ROCK SPRINGS",NA
"GEORGETOWN","835700","ST DAVIDS GEORGETOWN HOSPITAL",NA
"GLEN ROSE","059000","GLEN ROSE MEDICAL CENTER",NA
"GONZALES","103000","MEMORIAL HOSPITAL-GONZALES",NA
"GRAHAM","094000","GRAHAM HOSPITAL DISTRICT",NA
"GRANBURY","424000","LAKE GRANBURY MEDICAL CENTER",NA
"GRAND PRAIRIE","975249","BAYLOR SCOTT & WHITE EMERGENCY HOSPITAL-GRAND PRAIRIE",NA
"GRAND SALINE","975986","VAN ZANDT REGIONAL HOSPITAL",NA
"GRAPEVINE","513000","BAYLOR SCOTT & WHITE MEDICAL CENTER-GRAPEVINE",NA
"GRAPEVINE","781900","BAYLOR SURGICARE AT GRAPEVINE",NA
"GREENVILLE","754000","GLEN OAKS HOSPITAL",NA
"GREENVILLE","085000","HUNT REGIONAL MEDICAL CENTER GREENVILLE",NA
"GROESBECK","052000","LIMESTONE MEDICAL CENTER",NA
"HALLETTSVILLE","527000","LAVACA MEDICAL CENTER",NA
"HAMILTON","640000","HAMILTON GENERAL HOSPITAL",NA
"HARKER HEIGHTS","976171","CLEARSKY REHABILITATION HOSPITAL HARKER HEIGHTS",NA
"HARKER HEIGHTS","971000","SETON MEDICAL CENTER HARKER HEIGHTS",NA
"HARLINGEN","788002","HARLINGEN MEDICAL CENTER",NA
"HARLINGEN","975164","PALMS BEHAVIORAL HEALTH",NA
"HARLINGEN","000104","RIO GRANDE STATE CENTER",NA
"HARLINGEN","840700","SOLARA SPECIALTY HOSPITALS HARLINGEN",NA
"HARLINGEN","400000","VALLEY BAPTIST MEDICAL CENTER",NA
"HASKELL","572000","HASKELL MEMORIAL HOSPITAL",NA
"HEMPHILL","522000","SABINE COUNTY HOSPITAL",NA
"HENDERSON","975295","UT HEALTH EAST TEXAS HENDERSON HOSPITAL",NA
"HENRIETTA","193000","CLAY COUNTY MEMORIAL HOSPITAL",NA
"HEREFORD","420000","HEREFORD REGIONAL MEDICAL CENTER",NA
"HILLSBORO","383000","HILL REGIONAL HOSPITAL",NA
"HONDO","427000","MEDINA REGIONAL HOSPITAL",NA
"HORIZON CITY","975233","THE HOSPITALS OF PROVIDENCE HORIZON CITY CAMPUS",NA
"HOUSTON","975130","AD HOSPITAL EAST",NA
"HOUSTON","975250","ALTUS HOUSTON HOSPITAL, CELESTIAL HOSPITAL, ODYSSEY HOSPITAL",NA
"HOUSTON","976222","BMC HEIGHTS HOSPITAL",NA
"HOUSTON","976157","BMC NORTH HOSPITAL",NA
"HOUSTON","975365","BAYLOR ST LUKES MEDICAL CENTER MCNAIR CAMPUS",NA
"HOUSTON","969200","BEHAVIORAL HOSPITAL-BELLAIRE",NA
"HOUSTON","118000","CHI ST LUKES HEALTH BAYLOR COLLEGE OF MEDICINE MEDICAL CENTER",NA
"HOUSTON","975788","CORNERSTONE SPECIALTY HOSPITALS HOUSTON MEDICAL CENTER",NA
"HOUSTON","744001","CYPRESS CREEK HOSPITAL",NA
"HOUSTON","976067","EAST HOUSTON MEDICAL CENTER",NA
"HOUSTON","112100","ENCOMPASS HEALTH REHAB HOSPITAL CYPRESS",NA
"HOUSTON","970600","ENCOMPASS HEALTH REHAB HOSPITAL THE VINTAGE",NA
"HOUSTON","390000","HCA HOUSTON HEALTHCARE MEDICAL CENTER",NA
"HOUSTON","229000","HCA HOUSTON HEALTHCARE NORTHWEST",NA
